   1.00000000       1.40030003    
   2.00000000       3.67175007    
   3.00000000       6.89225006    
   4.00000000       11.1195498    
   5.00000000       16.2446995    
   6.00000000       22.5375500    
   7.00000000       29.7669506    
   8.00000000       37.7621002    
   9.00000000       47.1083488    
   10.0000000       57.4082985    
   11.0000000       68.6670532    
   12.0000000       80.4870529    
   13.0000000       94.3458023    
   14.0000000       108.198952    
   15.0000000       124.027100    
   16.0000000       140.345551    
   17.0000000       157.238052    
   18.0000000       174.894699    
   19.0000000       193.055054    
   20.0000000       214.596100    
